headword,pos,supplement,entry,meaning,ipa,example_sentence,translated_sentence
,,,possibility,"〈C〉可能性, 可能なこと,ありうること / 実現可能な事柄 / （勝利・指名などの）見込みのある人 / 将来性,見込み",/pɑːsɪˈbɪlɪti/,There is a possibility of rain tomorrow.,明日は雨の可能性があります。
,,,privilege,【名詞】特権 / 【動詞】特権のある、優遇する,/ˈprɪvəlɪdʒ/,I consider it a privilege to have been able to work with you.,あなたと一緒に仕事ができたことを特権と考えています。
,,,priority,〈U〉(時間・順序で)(…より)先(前)であること《+of(to)+名》  / 〈C〉優先するもの(こと),/pɹaɪˈɔɹədi/,Priority should be given to safety in any situation.,どんな状況でも安全が最優先されるべきです。
,,,prisoner,"(服役中の)囚人;(未決の)拘置人,刑事被告人  / =prisoner of war  / 自由を奪われた人,動きがとれなくなった人(動物)  / 補虜",/'prɪzənər/,The prisoner escaped from the jail last night.,囚人は昨夜、刑務所から脱走した。
,,,celebration,"祝賀,祝典(儀式)の挙行;〈C〉祝典,祭典,祝賀会",/sɛlɪˈbreɪʃən/,The party was a celebration of their success.,そのパーティーは彼らの成功を祝うものでした。
,,,procedure,手続き / 手順 / 方法 / 工程,/prəˈsidʒər/,The procedure for applying for a visa is quite complicated.,ビザ申請の手続きはかなり複雑です。
,,,product,"産物;製品  / 《…の》結果,帰結《of ...》  / (数の)積  / (化学の)生成物",/ˈprɒdʌkt/,This new product is highly recommended.,この新製品は非常におすすめです。
,,,revenue,"【名/U】(企業などの)総収入,収益；(国･地方自治体の)税収入,歳入【C】国税局；税務署",/ˈɹɛvəˌnjuː/,The company's revenue has been steadily increasing over the past year.,会社の収益は過去1年間で着実に増加しています。
,,,prompt,【動詞】促す【形容詞】迅速な 【副詞】即座に,/prɑmpt/,The alarm clock prompts me to wake up every morning.,目覚まし時計が毎朝、私に起きるよう促してくれます。
,,,state,を述べる、表明する,/steɪt/,He stated his opinion during the meeting.,彼は会議中に自分の意見を述べました。
,,,quiet,"静かな,ひっそりした,閑静な  / 音を出さない(立てない),沈黙した(silent)  / 動きのない,静止した  / 平穏な,穏やかな,安らかな  / (色などが)落ち着いた,じみな  / 静かさ,静寂・平穏(tranquility);安静(rest)・平静・〈人・騒ぎなど〉‘を'静める;…‘を'なだめる・静まる;落ち着く",/kwaɪət/,The park was peaceful and quiet.,公園は静かで平和な雰囲気がありました。
,,,ship,"(おもに大洋を航行する)船,大型船  / (船の)乗組員  / 《話》飛行機,飛行船;宇宙船  / シップ型帆船  / …‘を'船で送る,船に積む;(郵便・鉄道・トラック・飛行機などで)…‘を'送る,輸送する  / 〈船が〉〈波〉‘を'かぶる  / 〈船具〉‘を'船に取り付ける  / 乗船する;船旅をする  / (…として)船で働く,船員になる《+as+名》",/ʃɪp/,The ship sailed across the Pacific Ocean.,大西洋を横断した船が航行した。
,,,rat,"ネズミ  / ひきょう者,裏切り者  / ネズミをつかまえる  / 《話》(人を)裏切る,密告する《+on+名〈人〉》",/ræt/,The rat scurried across the floor.,そのネズミは床を駆け抜けた。
,,,rather,"いくぶん,やや  / それどころか,反対に  / 《話》かなり,相当に  / 《英話》(応答に用いて)確かに,そうですとも(certainly)",/ˈræðər/,I would rather stay home than go out tonight.,今夜は外出するよりも家にいたいです。
,,,sum,"【名/C】《the》(数・量の)合計, 総計 /  《形容詞をつけて》《…の》額《of ...》 / 【動/他】を合計する《up》",/sʌm/,The sum of the two numbers is seven.,2つの数字の合計は7です。
,,,recognition,"〈U〉見て気がつくこと,認識 / 見覚え / 《...の》承認《of》 / 《...の》表彰《of》",/rɛkəɡˈnɪʃən/,Facial recognition technology is becoming more common in our daily lives.,顔認識技術は私たちの日常生活でより一般的になっています。
,,,concept,"(特に哲学用語として)(…の)概念,観念《+of+名》,(…という)概念《+that節》",/'kɒnsept/,The concept of time is difficult to grasp.,時間の概念は理解しにくいです。
,,,regulation,"〈C〉規則,規定;法規,条例  / 〈U〉(…の)規制,調整《+of+名》  / 正規の,規定どおりの",/rɛɡjəˈleɪʃən/,The government implemented new regulations to improve safety standards.,政府は安全基準を向上させるために新しい規則を実施しました。
,,,stone,"〈U〉(物質としての)石,石材  / 〈C〉小石,岩石の小片  / 〈C〉《複合語を作って》(特定の目的に用いる)石材  / =precious stone  / 〈C〉(形・堅さが)石に似たもの(あられなど)  / 〈C〉(腎臓・膀胱(ぼうこう)などの)結石  / 〈C〉(果実の)種,核  / 〈C〉《英》(体重を表す重量単位の)ストーン(14ポンド(約5.35キログラム)に相当)  / 石造りの,石の・石器製の  / …‘に'石を投げる,石を投げて殺す  / …‘に'石を取り付ける(張る,敷く),沿って石を並べる  / 〈果実〉‘の'種を取る",/stoʊn/,The stone was hard and cold to the touch.,石は触れた時に硬くて冷たかった。
,,,confident,"《...に》自信のある, 《...を》確信している《of ...》",/kɒn.fɪ.dənt/,She is confident in her abilities.,彼女は自分の能力に自信があります。
,,,relatively,"比較的に, 相対的に  / 《...に》比べて, 《...の》割に《to ...》",/rɛlətɪvli/,She is relatively tall compared to her friends.,彼女は友達と比較して比較的背が高いです。
,,,relation,"【名】関係,関連；親戚(関係)；話すこと；犯罪通報",/rɪˈleɪʃən/,She has a close relation with her sister.,彼女は姉妹との関係が密接だ。
,,,relax,"〈緊張・力など〉‘を'ゆるめる,和らける(loosen)  / 〈規則など〉‘を'緩和する  / 〈人〉‘を'楽にさせる,くつろがせる  / 〈緊張・力などが〉ゆるむ,和らぐ;〈規則などが〉緩和される  / 〈人が〉楽にする,くつろぐ,緊張をほぐす",/rɪˈlæks/,I like to relax by reading a book.,本を読むことでリラックスするのが好きです。
,,,consultant,"専門的助言をする人,顧問,コンサルタント",/ˈkɒnsəltənt/,The consultant provided expert advice to the company.,コンサルタントは企業に専門的な助言を提供しました。
,,,resort,"【動/自】《...に...を》やむを得ず訴える, 頼る《to ... for ...》 / 【名/C】行楽地, 保養地 / 頼みの綱 / 【名/U】《...に》訴えること《to ...》",/rɪˈzɔrt/,I am planning a vacation at a luxurious resort.,私は高級リゾートでのバケーションを計画しています。
,,,response,"【名/C】《...に対する》返事, 返答《to ...》 / 【名/C/U】《...に対する》反応, 反響《to ...》",/rɪˈspɒns/,I'm waiting for your response.,あなたの返事を待っています。
,,,rival,"(…の)競争相手,ライバル,好敵手,匹敵する人(物)《+for+名》,(…における)競争相手《+in+名》  / 競争する,対坑する  / (…において)…‘と'競争する《+名+in+名(doing)》  / 《おもに米》(…において)…‘に'匹敵する,‘と'肩を並べる《+名+in+名(doing)》",/ˈraɪ.vəl/,He is my biggest rival in the competition.,彼は競争相手の中で私の最大のライバルです。
,,,crew,"【名/C】(船・飛行機の) 乗組員 / (共同の仕事をする)従業員 / 《話》仲間,連中",/krʊ/,The crew worked together to navigate through the storm.,乗組員は共に嵐を乗り越えるために働きました。
,,,roof,"屋根;屋上;《比喩(ひゆ)的に》家,家庭  / (形・位置・働きが)屋根に似た物  / …‘に'屋根をつける;…‘に'(…の)屋根をつける《+名+with+名》",/ruf/,The cat is sitting on the roof.,猫が屋根に座っています。
,,,write,"〈文字・文章・書物など〉'を'書く,記す;〈事〉'を'書く,手紙に書く  / 〈手紙〉'を'書く  / 《話》〈人〉‘に'手紙をお書く  / 《通例受動熊で》(書たいように)…'を'はっきりと示す,明記する,刻みつける  / 字(文章など)を書く  / 手紙を書く,便りをする  / 〈ペンなどが〉書ける",/raɪt/,I wrote a letter to my parents.,私は両親への手紙を書きました。
,,,young,"若い,幼い,年の行かない  / 年下のほうの  / 若々しい,青年らしい(youthful),元気な(vigorous)  / 新興の,(歴史の)新しい(new);(季節・時間などの)まだ早い(early);新鮮な,生き生きした  / 経験の浅い,未熟な;(…に)不慣れな《+in(at)+名》  / 《通例 the young》《集合的に》若い人たち  / 《集合的に》《単数・複数扱い》(動物・鳥の)子,ひな",/jʌŋ/,He is a young man.,彼は若い男性です。
,,,zero,"〈U〉(アラビア数字の)0,零,ゼロ  / 〈U〉(温度計の)零度;(尺度の)零位;零点  / 〈U〉無,空(くう)(nothing)  / 〈U〉最下点,どん低  / 零の,ゼロの  / 〈計器など〉‘を'ゼロの目盛りに合わせる",/ˈziː.roʊ/,There are zero apples on the table.,テーブルの上にはりんごがゼロ個あります。
,,,row,【動/他】を漕ぐ；を船を漕いで運ぶ【動/自】船をこぐ【名/C】ボートをこいで行くこと,/roʊ/,She likes to row on the lake in the morning.,彼女は朝、湖でボートを漕ぐのが好きです。
,,,royal,"《しばしばR-》王の,女王の,王室の  / 王(女王)に属する,王(女王)に仕える  / 王(女王)から与えられる  / 王(女王)にふさわしい,威厳のある,壮麗な,堂々たる",/'rɔɪəl/,The royal family attended the ceremony.,王族は式典に出席しました。
,,,data,"資料,事実;情報",/'deɪtə/,I need to gather all the data for the presentation.,プレゼンテーションのためにすべての資料を集める必要があります。
,,,decade,【名】10年間,/dɪˈkeɪd/,I have been working in this company for over a decade.,私はこの会社で10年以上働いています。
,,,pollution,"【名/U】《...を》汚すこと, 《...が》汚されていること《of ...》 / 汚染物質",/pəˈluːʃən/,The city has a serious problem with pollution.,都市は汚染の問題が深刻です。
,,,deficit,"〈C〉(金銭の)不足額,赤字 / 不利な条件, 立場",/dɪˈfɪsɪt/,The government is facing a budget deficit.,政府は予算の不足額に直面しています。
,,,scientific,【形】科学の / 学術的な / 体系的な,/saɪənˈtɪfɪk/,Scientific research has led to many advancements in technology.,科学的な研究は技術の多くの進歩をもたらしています。
,,,mystery,"〈C〉神秘的な物(事)  / 〈C〉好寄心(気がかり)を起こさせる物(事)  / 〈C〉推理小説(劇,映画)  / 〈U〉神秘[性]  / 〈C〉《複数形で》(宗数的)秘法,秘教;(古代ギリシア・ローマの)神秘儀式",/ˈmɪstəri/,The disappearance of the ancient artifact remains a mystery.,古代の遺物の消失は未解決のままです。
,,,nervous,"【形】神経の / 神経質な / 心配な, 不安な, 緊張して",/ˈnɜːrvəs/,She felt nervous before her big presentation.,彼女は大事なプレゼンテーション前に神経質に感じた。
,,,tip,"【名/C】《...の》先, はし,先端 《of ...》 / 先端に付ける物(部分) / 【動/他】...の先をおおう",/tɪp/,Here's a helpful tip: always double-check your work before submitting it.,ここに役立つヒントがあります：提出する前に常に作業をダブルチェックしてください。
,,,secondary,"第2の,2番目の;(…の)次の《+to+名》  / 派生的な,二次的な,あまり重要でない  / 中等学校[教育]の  / 二次電流の",/sɛkəndɛri/,He is the secondary character in the story.,彼は物語の第2のキャラクターです。
,,,second,【名/C】(時間・角度の) 秒  / 《単数形で》瞬間 (moment),/sɪkənd/,This is my second attempt.,これは私の2回目の試みです。
,,,research,"(新しい事実などの探究のための,特定の分野の)研究,調査《+in(into,on)+名》  / …‘を'研究する,調査する  / (…を)研究する,調査する《+into(on)+名》",/rɪˈsɜːrtʃ/,I am conducting research on the effects of exercise on mental health.,私は運動が精神的健康に与える影響についての研究を行っています。
,,,secretary,"(個人・会社などの)秘書《+to(of)+名》  / (官公庁などの)書記[官],秘書官  / 《S-》《米》長官;《英》大臣  / (本箱付きの)書き物机",/'sɛkrətɛri/,She works as a secretary to the CEO of a multinational company.,彼女は多国籍企業のCEOの秘書として働いています。
,,,sector,扇形  / 軍事作戦地区  / (肉事などの)部門,/ˈsɛktər/,The fans in the stadium were arranged in a sector shape.,スタジアムのファンは扇形に配置されていました。
,,,sensitive,"(五感が)敏感な,感じやすい  / 物事を非常に気にする,神経過敏な  / 感光性の;(器械などが)感度のよい",/sɛnsətɪv/,She has sensitive hearing and can hear even the faintest sounds.,彼女は五感が敏感で、最もかすかな音まで聞くことができる。
,,,discuss,"…‘を'論ずる,討議する,検討する",/dɪˈskʌs/,We discussed the plan for two hours.,私たちは２時間計画について話し合いました。
,,,seventeen,"〈C〉(数の)17,17の記号(17,XVIIなど)  / 〈U〉(24時間制の)17時;17分;17歳  / 〈U〉《複数扱い》17人,17個  / 17の,17人の,17個の  / 《補語にのみ用いて》17歳の(で)",/ˌsɛvənˈtin/,I have seventeen books on my shelf.,私の本棚には17冊の本があります。
,,,shell,"貝がら,貝;(甲虫・卵などの)堅い殻(から),(カメなどの)こうら  / (種子・果実などの)堅い外皮,さや  / 殻に似た物;建物の外郭,骨組  / 《比喩(ひゆ)的に》(心を閉ざした)殻,打ち解けない態度  / 砲弾;《米》薬きょう  / シェル(一人または二,三人でこぐ競漕用ボート)  / 〈貝など〉‘の'殻を取る,〈豆〉‘の'さやを取る  / …‘に'弾丸(砲弾)を浴びせる,‘を'砲撃する",/ʃɛl/,I found a beautiful seashell on the beach.,私はビーチで美しい貝がらを見つけました。
,,,mobile,"【形】動かすことができる,移動できる / 機動力のある /   (心・表情が)次々と移り変わる;表情の豊かな /   (社会・階層が上下に)流動できる / 【名】モビール / 携帯電話 / 《米俗》自動車",/ˈmoʊbəl/,I bought a new mobile phone.,私は新しい携帯電話を買った。
,,,retail,"小売り  / 小売りの  / 小売りで,小売り価格で  / …‘を'小売りする  / 《文》…‘を'受け売りで話す  / (…の値段で)小売りされる《+at(for)+名》",/ˈriːteɪl/,I work in the retail industry.,私は小売り業界で働いています。
,,,sigh,(悲しみ・疲れ・安心などで)ため息をつく《+with+名》;(…を)嘆いてため息をつく《+over+名》  / 〈風などが〉ため息をつくような音を立てる  / 《文》(…を)思って(あこがれて)ため息をつく《+for(after)+名》  / ため息,/saɪ/,She sighed with relief when she heard the good news.,彼女は良い知らせを聞いて安心してため息をついた。
,,,signal,"(警告・指示・情報などを伝える)信号,合図  / (…の)きっかけ,動機,導火線《+for+名》  / 〈人・車など〉‘に'合図する,信号を送る  / …‘を'合図(信号)で知らせる  / 合図する,信号する  / 合図の,信号の  / めざましい,顕著な",/ˈsɪɡ.nəl/,"The traffic signal turned red, so I stopped my car.",信号が赤に変わったので、私は車を停めました。
,,,significance,"〈U〉重要性,重大さ([[importance]]) / 《...の》意味,意義([[meaning]])《of ...》",/sɪɡˈnɪfɪkəns/,The significance of this discovery cannot be overstated.,この発見の重要性は言い尽くせない。
,,,significant,重要な / 意味のある / 暗示的な / 有意義な,/sɪɡˈnɪfɪkənt/,This is a significant achievement.,これは重要な成果です。
,,,simply,"簡単に,分かり易く  / 飾り気なく,簡素に;もったいぶらないで,率直に  / 単に,ただ(merely, only)  / 全く,ほんとうに(really);とても,悲常に(very much)",/'sɪmpli/,You can simply press this button to start the machine.,このボタンを簡単に押すだけで、機械を起動することができます。
,,,sixteen,"〈C〉(数の)16;16の記号(16,XVIなど)  / 〈U〉(24時間制の)16時,16分,16歳  / 《複数扱い》16人,16個  / 16の,16人の,16個の  / 《補語にのみ用いて》16歳の(で)",/'sɪkstiːn/,She celebrated her sixteenth birthday with a big party.,彼女は大きなパーティーで16歳の誕生日を祝った。
,,,employee,"雇い人,従業員",/ɪmˈplɔɪˌi/,The company hired a new employee last week.,会社は先週新しい雇い人を採用しました。
,,,emphasize,"…‘を'強調する,重要視する",/ˈɛmfəsaɪz/,I want to emphasize the importance of teamwork.,私はチームワークの重要性を強調したいです。
,,,environmental,環境の;自然環境の,/ɪnˌvaɪrənˈmɛntəl/,We should all take responsibility for protecting the environment.,私たちは皆、環境を守る責任を持つべきです。
,,,soldier,"(陸軍の)軍人,(特に)下士官,兵士  / (主義・主張のために闘う勇敢な)戦士,闘士  / 軍人になる,軍務に服する",/'soʊldʒər/,The soldier fought bravely on the battlefield.,その軍人は勇敢に戦場で戦った。
,,,excellent,"すぐれた,優秀な;(成績評点の)優の,秀の",/ˈɛksələnt/,She is an excellent cook.,彼女は素晴らしい料理人です。
,,,species,"〈C〉(生物分類上の)種(しゅ),種族(「属」(genus)の下の単位)  / 〈C〉(…の)種類《+of+名》  / 《the ~》人類(mankind)",/'spiːʃiːz/,There are over 8 million species of animals on Earth.,地球上には800万種以上の動物が存在しています。
,,,speed,"〈U〉(運動・動作の)速いこと,速さ・〈C〉速度,速力(velocity) ・〈C〉(自動車などの)変速ギア・〈U〉〈C〉(写真で)  / (フィルムの)感度,感光性  / レンズの明るさ・シャッター速度・覚醒(かくせい)剤,興奮剤  / ・急ぐ,疾走する・《通例現在分詞形で》制限速度以上で運転する,反則の速度で走る・〈仕事・車など〉‘の'速度を上げる",/spiːd/,He ran at a tremendous speed.,彼は驚異的な速さで走った。
,,,biological,"生物学の,生物学的",/baɪəˈlɒdʒɪkəl/,Biological research is essential for understanding the complexities of life.,生物学の研究は生命の複雑さを理解するために不可欠です。
,,,status,"〈C〉〈U〉地位,身分;資格  / 〈U〉高い地位,  / 〈C〉状態,事態",/'steɪtəs/,She has achieved a high status in her career.,彼女はキャリアで高い地位を築いています。
,,,precisely,正確に、ちょうど,/pɹɪˈsaɪsli/,He precisely followed the instructions.,彼は正確に指示に従った。
,,,stress,"【名/U/C】(精神的・感情的な) 緊張 / 強勢, アクセント / 【名/U】《...に対する》強調《on ...》 / (一般に) 圧迫 / 【動/他】を強調する",/stɹɛs/,I need to find a way to reduce stress in my life.,私は人生でストレスを減らす方法を見つける必要があります。
,,,strict,"(人が) 厳しい, 厳格な / 〈規則などが〉厳しい / 厳密な, 正確な",/strɪkt/,The teacher was strict with the students.,先生は生徒たちに厳しかった。
,,,sun,"《the~》太陽,日  / 〈U〉《the~》日光  / 〈C〉恒星  / 〈自分〉‘を'日光にさらす  / 日光浴をする",/sʌn/,The sun is shining brightly today.,今日は太陽が明るく輝いています。
,,,supporter,"支持者,後援者;支え,支える物  / 扶養する人  / (運動選手が使う)サポーター",/səˈpɔːrtər/,She has a strong group of supporters who always stand by her.,彼女にはいつも彼女を支えてくれる強力な支持者のグループがいます。
,,,surgery,"〈U〉外科,外科医術  / 〈U〉手術  / 〈C〉《英》診察室;〈C〉〈U〉診察時間",/ˈsɜːr.dʒər.i/,He underwent surgery to remove the tumor.,彼は腫瘍を取り除くために手術を受けました。
,,,tall,"(背の)高い  / 《補語にのみ用いて》背たけ(高さ)が…の  / 《話》(話などが)大げさな,誇張した  / (程度・量が)法外な,ものすごい",/tɔːl/,He is a tall man,彼は背が高い男だ
,,,tea,"〈U〉茶,(特に)紅茶  / 〈U〉(乾燥した)茶の葉;茶の木  / 〈U〉茶に似た飲料,煎じ茶  / 〈C〉〈U〉午後のお茶  / 〈C〉〈U〉お茶の会(午後の軽食を出すパーティー)",/tiː/,I'd like to have a cup of tea.,私はお茶をいただきたいです。
,,,gender,(名詞・代名詞の)性,/ˈdʒɛndər/,Gender equality is important for a fair society.,性の平等は公正な社会にとって重要です。
,,,television,〈U〉テレビ放送(《略》TV)  / (また television set)〈C〉テレビ[受像機]  / 〈U〉テレビ産業;テレビ放送技術,/tɛlɪˈvɪʒən/,I bought a new television yesterday.,昨日新しいテレビを買った。
,,,tent,"テント,天幕  / テント状のもの",/tɛnt/,I set up a tent in the backyard for our camping trip.,キャンプ旅行のために、私は庭にテントを設置しました。
,,,tendency,"〈C〉《...する, ...への》傾向《to, toward ...》 / 性癖, 癖",/'tɛndənsi/,She has a tendency to overthink things.,彼女は物事を過度に考える傾向があります。
,,,terrorist,"テロリスト,暴力主義者,恐怖政治家  / 暴力政治の;暴力主義者の",/'tɛrərɪst/,The police arrested a suspected terrorist yesterday.,昨日、警察は容疑者のテロリストを逮捕しました。
,,,theme,"主題,論題,題[目],テーマ  / (児童・生徒の)作文  / (曲の)主題,主旋律(一曲の中にさまざまに形を変えて繰り返し出てくる旋律)",/θiːm/,The theme of the party is 'Hawaiian Luau'.,パーティーの主題は「ハワイアンルアウ」です。
,,,theory,"〈C〉(…の)(学問的な)理論,学説《+of+名》  / 〈C〉〈U〉(…の実地に対する)理論《+of+名》  / 〈C〉(…という)推測,憶測;見解,孝え《+that節》",/ˈθɪəri/,The theory of relativity revolutionized our understanding of space and time.,相対性理論は、私たちの空間と時間の理解を革新しました。
,,,theoretical,【形】理論的な / 仮説の / 空論的な,/θiːəˈrɛtɪkəl/,Theoretical physics is a branch of science that deals with the fundamental principles of the universe.,理論物理学は宇宙の基本原理に関わる科学の一分野です。
,,,clothing,"〈U〉衣類, 衣料品",/ˈkləʊðɪŋ/,She bought new clothing for the party.,彼女はパーティーのために新しい洋服を買いました。
,,,they,"【代名】彼らは, 彼女らは, それらが, それらは / (一般に) 人々, 世間の人",/ðeɪ/,They are going to the movies tonight.,彼らは今夜映画に行く予定です。
,,,thirty,"〈C〉(数の)30;30の記号(30,XXX など)  / 〈C〉30分,30歳  / 《複数扱い》30個;30人《the thirties》(世紀の)30年代  / 30の,30人の,30個の  / 《補語にのみ用いて》30歳(で)",/ˈθɜːrtiː/,I have thirty books on my shelf.,私の本棚には30冊の本があります。
,,,thousand,"1000[人,個など]  / 千の記号(1000,M)  / 1000の,1000人の,1000個の  / 多数の,無数の",/ˈθaʊzənd/,There were a thousand people at the concert.,コンサートには1000人の人がいました。
,,,tissue,〈U〉〈C〉(生物体の)組織  / 〈U〉〈C〉薄織物  / 〈U〉〈C〉水を吸収する柔らかな薄紙  / 〈C〉カーボンコピー用薄紙  / 〈C〉《a ~》(…を)織り交ぜて作ったもの《+of+名》  / =tissue paper,/'tɪʃuː/,She wiped her tears with a tissue.,彼女はティッシュで涙を拭いた。
,,,tower,"塔,タワー  / (…の上に)ひときわ高くそびえる,(力・才能などが)ぬきんでている《+above(over)+名》",/ˈtaʊər/,The Eiffel Tower is one of the most recognizable structures in the world.,エッフェル塔は世界で最も有名な建造物の1つです。
,,,treatment,"【名/U】《...の》取り扱い, 扱い方《of ...》 / 治療 / 【名/C】《...に対する》治療法《for ...》",/'triːtmənt/,The doctor prescribed a new treatment for my condition.,医者は私の状態に対して新しい治療法を処方しました。
,,,trigger,"(銃砲の)引き金  / 《話》敏しような,抜け目のない  / 〈一連の事件・反応など〉‘を'起こす,誘発する《+off+名,+名+off》",/'trɪɡər/,He pulled the trigger and the gun fired.,彼は引き金を引いて、銃が発射された。
,,,twice,"2回,2度  / 2倍[に]",/twaɪs/,I have to go to the store twice today.,今日は2回店に行かなければなりません。
,,,twin,"双生児の一人;《複数形で》双生児,ふたご  / よく似た人(物)の片方;《複数形で》対  / ふたごの;対の  / 〈ある都市〉‘を'(…と)姉妹関係にする《+名+with+名》",/twɪn/,She has a twin sister.,彼女には双子の姉妹がいます。
,,,universe,"《the universe,時に the Universe》宇宙(cosmos);森羅万象;[全]人類(humankind)  / {C}世界,領域,分野",/juːˈnɪvɜːrs/,The universe is vast and mysterious.,宇宙は広大で神秘的です。
,,,unique,"ただ一つしかない, 唯一の / 比類のない / 《話》珍しい, 独特の",/juˈnik/,This is a unique opportunity to travel the world.,これは世界を旅するためのただ一つのチャンスです。
,,,user,"使用者,消費者  / 財産権[の使用]",/ˈjuːzər/,The user logged into the system.,使用者がシステムにログインしました。
,,,vast,"広大な,広範囲な  / (数・量・程度などにおいて)ものすごい,ばく大な",/væst/,The Sahara Desert is a vast expanse of sand.,サハラ砂漠は広大な砂の広がりです。
,,,vessel,"〈C〉船舶 / 容器 / 管,血管",/'vɛsəl/,The vessel sailed across the ocean.,その船舶は海を横断しました。
,,,visible,"目に見える  / 明らかな,明白な",/'vɪzəbəl/,The stars are visible in the night sky.,夜空には星が目に見える。
,,,visual,視覚の  / 目に見える;目で見た  / 有視界の,/'vɪʒuəl/,Visual arts are a form of creative expression.,視覚芸術は創造的な表現の一形態です。
,,,instead,"その代わりとして, それよりも, そうではなく",/ɪnˈstɛd/,I decided to walk instead of taking the bus.,バスに乗る代わりに歩くことに決めました。
,,,interaction,相互作用,/ˌɪntərˈækʃən/,There is a strong interaction between the two characters in the movie.,映画の中で、二人のキャラクターの間には強い相互作用があります。
,,,weak,"(物が)弱い  / (通常よりも)衰えている,力が弱い,勢いがない  / (性格の点で)弱い,意志薄弱な  / 劣っている  / (相場などが)値下がりぎみの  / 水っぽい,薄い  / (音節・母音・語が)強勢のない,弱強勢の;(動詞が)弱変化の",/wiːk/,He is weak and easily gets tired.,彼は弱くてすぐに疲れます。
,,,wealth,"富,財産  / 《しばしば a wealth》豊富(な…),たくさん(の…)《+of+名》",/wɛlθ/,He accumulated great wealth through his successful business ventures.,彼は成功したビジネスで大きな富を蓄積しました。
,,,weapon,"武器,兵器  / 攻撃(防御)手段",/'wɛpən/,He was arrested for carrying a concealed weapon.,彼は秘密裏に武器を持っていたため逮捕された。
,,,welfare,"幸福,繁栄  / 福祉[事業],厚生[事業]  / (米政府の)生活保護",/'wɛlfɛr/,The government provides welfare programs to ensure the happiness and well-being of its citizens.,政府は福祉プログラムを提供して、市民の幸福と福祉を保証しています。
,,,kind,"《...に》親切な, 優しい, 思いやりのある《to ...》",/kaɪnd/,She is a kind person.,彼女は親切な人です。
,,,kind,"〈C〉〈U〉《…の》種類, 部類([[sort]])《of ...》",/kaɪnd/,She is a kind person.,彼女は親切な人です。
,,,wrap,"(人・物に)…‘を'巻きつける,掛ける《+名+around(about)+名〈人・物〉》  / (…で)〈人・物〉‘を'くるむ,包む〈+名〈人・物〉+up(+up+名+in+名》  / 《話》…‘を'終了する《+up+名,+名+up》  / 衣服の上に着る外衣(スカーフ,ショール,コートなど)",/ɹæp/,She used a scarf to wrap around her neck.,彼女はマフラーを首に巻きつけました。
,,,your,"あなた[がた]の,君[たち]の  / 《話》《しばしば非難や軽べつの意を込めて》君[たち]のいう,例の,いわゆる  / 《一般に人を指して》人の  / 《敬称の一部として》",/jɔːr/,This is your book.,これはあなたの本です。
,,,youth,"〈U〉若さ,年の若いこと;若々しさ,元気  / 〈U〉青年時代,青春[期];(時代などの)初期  / 〈C〉《しばしば軽べつして》青年,若者,(特に)若い男  / 〈U〉《集合的に》《単数・複数扱い》《文》青年,若者たち(young people)",/juθ/,Youth is a time of exploration and discovery.,若さは探求と発見の時期です。
,,,practical,【形容詞】実用的な / 【名詞】実践,/præktɪkəl/,The practical application of this theory is still under study.,この理論の実用的な適用はまだ研究中です。
,,,dangerous,"危険な,危ない;危害を加える,険呑(けんのん)な",/dɛɪnʤərəs/,The storm created dangerous conditions for driving.,嵐が運転に危険な状況を作り出しました。
,,,dark,"暗いやみの  / (毛髪・皮膚・目の)浅黒い,(色の)濃い  / 陰うつな,陰気な(gloomy)  / 腹黒い,悪意のある(evil)  / 隠した,秘密の  / (意味が)明らかでない,なぞめいた  / 未発の;無知の  / 〈U〉《the~》やみ,暗がり(darkness)  / 《冠詞なしで》夜(night);日暮れ(nightfall)  / 〈U〉暗い色,濃い陰",/dɑrk/,The sky was dark.,空は暗かった。
,,,depend,"【動/自】〈物事が〉 ...次第である, ...にかかっている 《on ...》 / 〈人が〉頼る, 依存する",/dɪˈpɛnd/,I depend on my parents for financial support.,私は経済的な支援を親に頼っています。
,,,dinner,"〈C〉〈U〉(1日の食事の中で)主要な食事,正餐(せいさん);(現在では,特に)夕食,晩餐  / 〈C〉(公式の)晩餐会  / 晩餐(用)の",/'dɪnər/,Let's have dinner in a nice restaurant tonight.,今夜はナイスなレストランでディナーしましょう。
,,,dirty,"汚い,汚れた,不潔な;泥だらけの,泥んこの  / 不正な,卑劣な,下劣な  / 下品な,卑わいな,わいせつな  / 《話》(天気が)荒れ模様の(stormy)  / (原子兵器が)汚れた,放射性降下物の多い,放射能の多い  / …‘を'汚す;〈名誉・名声など〉‘を'汚す,傷つける  / 汚れる",/'dɜːrti/,The room was very dirty.,部屋はとても汚かった。
,,,discover,"〈今まで知らなかった物・場所〉‘を'発見する,見付ける  / 〈今まで知らなかった事〉‘を'発見する,悟る",/dɪˈskʌvər/,I discover a hidden treasure in the attic.,私は屋根裏部屋で隠された宝物を発見する。
